Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
Burundi,BDI,15750,15900,16040,16050,16240,16210,16660,16760,18970,18800,18990,19060,20000,20300,20600,20950,21430,21200,21000,20880,20750,20600,20600,20600,20600,20820,20920,21050,21050,21100,21100,21200,21230,20730,20370,19930,19520,19130,18870,18670,18510,18340,18330,18480,18190,17830,17330,17830,18330,18330,18830,19330,20330,20330,20330,20330,,,,,,,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13895.99976,13868.00049,13890.99976,13921.99951,13913.00049,13830,13800,13669.00024,13653.00049,13635.99976,13556.99951,13356.99951,13320,13365,13313.00049,13280,13508.00049,,,,,,,
Benin,BEN,14420,14620,14820,15020,15220,15520,15920,16220,17070,17270,17770,18070,18270,18570,18970,19270,19570,19770,19970,20270,20570,20900,21000,21100,21300,21900,22000,22100,22200,22700,22800,22950,23200,24000,25200,27100,28900,30500,31100,31950,32650,33650,34670,35670,35200,33350,33400,34450,33500,34400,35300,37000,37500,37500,37500,37500,,,,,,,
Burkina Faso,BFA,81390,81490,81590,81690,81790,81900,82000,82100,82220,82360,82200,83020,83730,84530,85360,85850,86350,86850,87350,87850,88350,88850,89350,89850,90350,90850,91400,95640,96000,95750,95500,95250,95000,94310,94500,95500,98500,99700,99700,97700,105700,107700,111700,106700,109700,107700,109700,120700,117700,120800,117900,121000,123000,121000,121000,121000,,,,,,,
Bangladesh,BGD,94800,94770,94800,95200,96370,96500,96950,96690,96750,96970,96950,99910,99890,99890,100040,99980,99910,99870,99830,99870,99810,99780,99640,100600,100270,100410,101150,104270,104430,103860,103200,95490,94460,93580,93740,93270,93650,94340,94860,94000,94030,93530,93280,93230,93110,92800,92660,92530,92460,92410,91280,91200,91080,90990,91622.40234,91942.09961,,,,,,,
Bulgaria,BGR,56730,56850,56930,57720,57930,58020,58630,58810,60220,60100,60090,60220,59820,60380,59550,61980,62060,62110,62060,61810,61790,61820,61770,61720,61690,61660,61660,61620,61680,61590,61610,61540,61210,61590,61640,61640,62030,56450,56790,55820,54980,53250,53260,53300,52650,51900,51160,51010,50300,50520,50880,51230,49950,49770,50118.99902,50210,,,,,,,
Bahrain,BHR,70,70,70,70,70,70,70,70,70,70,70,70,70,70,80,100,100,100,100,100,90,80,80,80,80,80,80,80,80,80,80,90,90,90,90,90,90,90,100,91.99999809,91.99999809,91.99999809,88.99999619,86.99999809,86.99999809,85.50000191,83.99999619,81.99999809,83.59999657,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,86.00000381,,,,,,,
"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,130,130,150,150,140,140,140,140,140,140,,,,,,,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,21900,21800,21750,21700,21650,21600,21050,21300,21260,21230,21690,21693.99902,21570,21590,21490,21300,21280,21440,21510,21560,21610,21570,21760,22090,,,,,,,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93910,93540,93460,93390,93330,93060,93070,92810,92520,91280,90250,89860,89570,89490,89580,89160,89170,89270,88980,88750,87960,87112.00195,86239.00391,85742.00195,85327.00195,,,,,,,
